,X,...1,name,address,city,state,zip,Zip.Plus,Contact.First.Name,Contact.Last.Name,Contact.Title,Phone,Business.Description,Primary.NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business.Type,County,Employee,Annual.Sales,URL,Year.Established,address_new,url,type,latitude,longitude
1,1,1,All American Swim,1231 NW Maynard Rd,Cary,NC,27513,8720,Barbara,Prue,Manager,2567401250,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,4,321000,kiefer.com,2019,1231 NW Maynard Rd Cary NC 27513,https://www.kiefer.com,lessons,35.78423655,-78.81002225
2,2,2,Alligator Steps,435 Athletic Club Blvd,Clayton,NC,27527,5764,Larissa,Koerschner,Owner,8775607946,Swimming Instruction,611620,NA,NA,NA,NA,Private,Johnston,11,936000,alligatorsteps.com,2015,435 Athletic Club Blvd Clayton NC 27527,https://www.alligatorsteps.com,lessons,35.69164214,-78.42636556
3,3,3,Aqua Tots,2765 Nc 55 Hwy,Cary,NC,27519,6206,NA,NA,NA,9192674222,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,5,321000,aqua-tots.com,1991,2765 Nc 55 Hwy Cary NC 27519,https://www.aqua-tots.com,lessons,35.7864868,-78.87112708
4,4,4,Aqua Tots,8823 Six Forks Rd,Raleigh,NC,27615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aqua-tots.com,NA,8823 Six Forks Rd Raleigh NC 27615,https://www.aqua-tots.com,lessons,35.8999493,-78.65181773
5,5,5,Aqua Tots,11926 Providence Rd W,Charlotte,NC,28277,2018,Keina,Adams,Manager,7046124646,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,30,1505000,aqua-tots.com,1991,11926 Providence Rd W Charlotte NC 28277,https://www.aqua-tots.com,lessons,35.04062834,-80.86083645
6,6,6,Aqua Tots,1709 Matthews Township Pkwy,Matthews,NC,28105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aqua-tots.com,NA,1709 Matthews Township Pkwy Matthews NC 28105,https://www.aqua-tots.com,lessons,35.12220893,-80.71058717
7,7,7,Aqua Tots,2935 Providence Rd,Charlotte,NC,28211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aqua-tots.com,NA,2935 Providence Rd Charlotte NC 28211,https://www.aqua-tots.com,lessons,35.1709122,-80.80772364
8,8,8,Aqua Tots,313 Matthews Dr,Holly Springs,NC,27540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aqua-tots.com,NA,313 Matthews Dr Holly Springs NC 27540,https://www.aqua-tots.com,lessons,35.66428423,-78.79466048
9,9,9,Aqua-Tots,2765 NC-55,Cary,NC,27519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aqua-tots.com,NA,2765 NC-55 Cary NC 27519,https://www.aqua-tots.com,lessons,35.7864868,-78.87112708
10,10,10,Arbor Creek Swim Club,200 Commons Dr,Holly Springs,NC,27540,7863,Chris,Meeks,Manager,9190001111,Swimming Instruction,611620,813319,NA,NA,NA,Private,Wake,2,129000,NA,2019,200 Commons Dr Holly Springs NC 27540,,lessons,35.67466546,-78.83193088
11,11,11,Blue Dophins Aquatics,5144 Revere Rd,Durham,NC,27713,2421,Stephanie,Iraggi,Owner,9196675481,Swimming Instruction,611620,NA,NA,NA,NA,Private,Durham,10,806000,bdaswimming.com,2008,5144 Revere Rd Durham NC 27713,https://www.bdaswimming.com,lessons,35.89270603,-78.90906977
12,12,14,Blue Dophins Aquatics,120 South Estes Drive,Chapel Hill,NC,27514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bdaswimming.com,NA,120 South Estes Drive Chapel Hill NC 27514,https://www.bdaswimming.com,lessons,35.92891897,-79.03386976
13,13,15,British Swim Sch At Aloft,10020 Sellona St,Raleigh,NC,27617,8231,NA,NA,NA,9192582066,Swimming Instruction,611620,713940,NA,NA,NA,Private,Wake,NA,NA,britishswimschool.com,2024,10020 Sellona St Raleigh NC 27617,https://www.britishswimschool.com,lessons,35.8965913,-78.80876556
14,14,16,British Swim Sch At Clarion,12401 Wake Union Church Rd,Wake Forest,NC,27587,NA,NA,NA,NA,9192582066,Swimming Instruction,611620,713940,NA,NA,NA,Private,Wake,3,193000,britishswimschool.com,1985,12401 Wake Union Church Rd Wake Forest NC 27587,https://www.britishswimschool.com,lessons,35.9839639,-78.53856047
15,15,17,British Swim Sch At East,3200 Bishops Way Lane,Charlotte,NC,28215,NA,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,NA,NA,britishswimschool.com,2024,3200 Bishops Way Lane Charlotte NC 28215,https://www.britishswimschool.com,lessons,35.2328425,-80.76852677
16,16,18,British Swim Sch At Hilton,3415 Wake Forest Rd,Raleigh,NC,27609,7316,NA,NA,NA,9192582066,Swimming Instruction,611620,713940,NA,NA,NA,Private,Wake,18,1153000,britishswimschool.com,2023,3415 Wake Forest Rd Raleigh NC 27609,https://www.britishswimschool.com,lessons,35.82912923,-78.61954683
17,17,19,British Swim Sch At LA Fitns,12325 Copper Way,Charlotte,NC,28277,3386,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,21,1054000,britishswimschool.com,2023,12325 Copper Way Charlotte NC 28277,https://www.britishswimschool.com,lessons,35.06903599,-80.84487072
18,18,20,British Swim Sch At LA Fitns,3024 Prosperity Church Rd,Charlotte,NC,28269,8112,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,26,1305000,britishswimschool.com,2023,3024 Prosperity Church Rd Charlotte NC 28269,https://www.britishswimschool.com,lessons,35.34189686,-80.76803577
19,19,21,British Swim Sch At Matthews,1800 Pineville Matthews Rd,Charlotte,NC,28270,330,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,21,301000,britishswimschool.com,2023,1800 Pineville Matthews Rd Charlotte NC 28270,https://www.britishswimschool.com,lessons,35.1101763,-80.76171721
20,20,22,British Swim Sch At Sleep Inn,6300 Banner Elk Dr,Charlotte,NC,28216,2389,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,13,753000,britishswimschool.com,2023,6300 Banner Elk Dr Charlotte NC 28216,https://www.britishswimschool.com,lessons,35.30620177,-80.85129136
21,21,24,British Swim Sch-Embassy,4800 S Tryon St,Charlotte,NC,28217,2402,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,21,1054000,britishswimschool.com,2023,4800 S Tryon St Charlotte NC 28217,https://www.britishswimschool.com,lessons,35.18003752,-80.89003403
22,22,25,British Swim School,5110 Piper Station Dr,Charlotte,NC,28277,6513,NA,NA,NA,7044403560,Swimming Instruction,611620,713940,NA,NA,NA,Private,Mecklenburg,21,452000,britishswimschool.com,2023,5110 Piper Station Dr Charlotte NC 28277,https://www.britishswimschool.com,lessons,35.06210405,-80.81268635
23,23,26,British Swim School Raleigh,8300 Health Park # 125,Raleigh,NC,27615,4731,Amy,Joyner,Owner,9192582066,Swimming Instruction,611620,NA,NA,NA,NA,Private,Wake,3,193000,britishswimschool.com,1985,8300 Health Park # 125 Raleigh NC 27615,https://www.britishswimschool.com,lessons,35.89475982,-78.66003993
25,25,29,Carolina Amateur Swimming,9850 Providence Rd,Charlotte,NC,28277,6856,Peter,Perers,Owner,(704) 846-5335,Swimming Instruction,611620,NA,NA,NA,NA,Private,Mecklenburg,5,251000,cvacswimming.org,2015,9850 Providence Rd Charlotte NC 28277,https://www.cvacswimming.org,lessons,35.07543177,-80.7728349
