Name,Type,Address,Website,latitude,longitude,swimming,indoor_pool,outdoor_pool,outdoor_kiddie_pool,outoor_slide
A.E. FINLEY YMCA,YMCA,"9216 Baileywick Road Raleigh, NC 27615",https://www.ymcatriangle.org/locations/ae-finley-ymca,35.90738882,-78.6586107,1,,,,
ALAMANCE COUNTY COMMUNITY YMCA,YMCA,"1346 S Main St Burlington, NC 27215",https://www.acymca.org,36.08511334,-79.45195543,,,,,
ALBEMARLE FAMILY YMCA,YMCA,"1240 N. Road Street Elizabeth City, NC 27909",https://www.ymcashr.org/locations/albemarle-family-ymca,36.32713875,-76.22394329,,,,,
ALEXANDER COUNTY FAMILY YMCA,YMCA,"260 Black Oak Ridge Road, Taylorsville, NC 28681",https://ymcanwnc.org/locations/alexander-county-family-ymca,35.92609193,-81.16692633,1,,,,
ALEXANDER W SPEARS III FAMILY YMCA,YMCA,"3216 Horse Pen Creek Rd, Greensboro, NC 27410",https://www.ymcagreensboro.org/locations/alex-w-spears-iii-ymca,36.14705612,-79.88213782,,,,,
ASHEVILLE YMCA,YMCA,"40 N Merrimon Ave, Asheville, NC 28801-3021",https://www.ncymcas.org/locations/asheville-ymca,35.64111583,-82.57648199,1,1,,,
BANKS D. KERR FAMILY YMCA,YMCA,"2500 Wakefield Pines Drive Raleigh, NC 27614-8812",https://www.ncymcas.org/locations?type=branches&amenities,35.94772093,-78.56757178,,,,,
BERTIE COUNTY YMCA,YMCA,"1102 N King Street Windsor, NC 27983",https://www.ncymcas.org/locations/bertie-county-ymca,36.00704071,-76.95334607,,,,,
BLACK MOUNTAIN YMCA,YMCA,"25 Jane Jacobs Rd Black Mountain, NC 28711",https://www.ncymcas.org/locations?type=branches&amenities,35.60143559,-82.31751142,1,1,,,
BLUE RIDGE ASSEMBLY YMCA,YMCA,"84 Blue Ridge Circle Black Mountain, NC 28711",https://www.ncymcas.org/locations?type=branches&amenities,35.60471151,-82.33926726,,,,,
BRACE FAMILY YMCA,YMCA,"3127 Weddington Road Matthews, NC 28105",https://www.ymcacharlotte.org/branches/brace-family,35.08510313,-80.73119486,1,,1,1,1
CARL AND LINDA GRUBB FAMILY YMCA,YMCA,"609 Trindale Rd Trinity, NC 27370",https://www.ncymcas.org/locations?type=branches&amenities,35.90566142,-79.98405588,,,,,
CHAPEL HILL-CARRBORO YMCA,YMCA,"980 Martin Luther King Jr. Blvd Chapel Hill, NC 27514",https://www.ymcatriangle.org/locations/chapel-hill-carrboro-ymca,35.93304629,-79.05562244,1,,,,
CHATHAM YMCA,YMCA,"287 East Street Pittsboro , NC 27312",https://www.ymcatriangle.org/locations/chatham-ymca,35.72019289,-79.17259537,,,,,
CHERRYVILLE FAMILY YMCA,YMCA,"215 N Mountain St, Cherryville, NC 28021",https://gastonymca.org/cherryville-family-ymca,35.38018839,-81.38014792,,,,,
